trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.1, 'e': 0.9978267458287945}",25,0,-145.36601960188915,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
43,False,"{'a': 0.1, 'e': 0.9977220653068037}",30,0,-99.84623758916638,"{0: 19, 1: 6, 2: 3, 3: 1, 4: 1}",0
44,False,"{'a': 0.1, 'e': 0.9976149255001993}",20,0,-90.76843004827374,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
45,False,"{'a': 0.1, 'e': 0.9975053266730701}",25,0,-109.60141829931919,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
46,False,"{'a': 0.1, 'e': 0.9973932690955664}",20,0,-90.97544554001931,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
47,False,"{'a': 0.1, 'e': 0.9972787530438985}",25,0,-115.09260096364781,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
48,False,"{'a': 0.1, 'e': 0.9971617788003372}",20,3,-57.304461994823235,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 0}",1
49,False,"{'a': 0.1, 'e': 0.9970423466532122}",25,0,-165.5297858209956,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
50,False,"{'a': 0.1, 'e': 0.9969204568969118}",30,0,-144.97867400399255,"{0: 14, 1: 4, 2: 10, 3: 2, 4: 0}",0
51,False,"{'a': 0.1, 'e': 0.9967961098318819}",25,0,-123.89272970536163,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
52,False,"{'a': 0.1, 'e': 0.9966693057646256}",25,0,-81.64733718234642,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
53,False,"{'a': 0.1, 'e': 0.9965400450077021}",30,0,-94.68259169112534,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
54,False,"{'a': 0.1, 'e': 0.9964083278797263}",20,4,-99.29484879895944,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 3}",1
55,False,"{'a': 0.1, 'e': 0.9962741547053676}",20,0,-39.21829417096348,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
