trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
275,False,"{'a': 0.1, 'e': 0.14953123174145927}",35,0,11.978919258812525,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
276,False,"{'a': 0.1, 'e': 0.14850153263770727}",35,17,6.09659192911785,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
277,False,"{'a': 0.1, 'e': 0.14747892422819972}",20,11,13.560428570975521,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.1, 'e': 0.14646335768513366}",20,16,7.914007947939949,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.1, 'e': 0.14545478451694335}",30,0,39.74501102319799,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
280,False,"{'a': 0.1, 'e': 0.14445315656598462}",25,7,-21.313826834800107,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
281,False,"{'a': 0.1, 'e': 0.14345842600623565}",20,15,7.4151482397587,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.1, 'e': 0.14247054534101317}",20,15,4.147833660305654,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.1, 'e': 0.14148946740070473}",35,17,16.51316619130518,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
284,False,"{'a': 0.1, 'e': 0.14051514534051632}",25,3,-4.653013445537066,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
285,False,"{'a': 0.1, 'e': 0.13954753263823566}",25,17,-5.8889296670893945,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
286,False,"{'a': 0.1, 'e': 0.13858658309201088}",25,14,-35.38031596288013,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
287,False,"{'a': 0.1, 'e': 0.13763225081814434}",20,0,11.617624565041059,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
288,False,"{'a': 0.1, 'e': 0.1366844902489019}",20,9,13.922825126946206,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.1, 'e': 0.13574325613033705}",20,6,-20.504662406067116,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
290,False,"{'a': 0.1, 'e': 0.13480850352013013}",20,15,12.37285222242137,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.1, 'e': 0.1338801877854425}",20,7,12.190091213145838,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.1, 'e': 0.1329582646007852}",25,3,21.50199533702939,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
293,False,"{'a': 0.1, 'e': 0.13204268994590268}",25,3,23.647474516665994,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
294,False,"{'a': 0.1, 'e': 0.1311334201036708}",30,12,18.572757255843356,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
295,False,"{'a': 0.1, 'e': 0.13023041165800947}",20,15,9.752682287054075,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.1, 'e': 0.12933362149180955}",20,7,15.834787903166479,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
297,False,"{'a': 0.1, 'e': 0.12844300678487414}",25,15,19.0412935023247,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.1, 'e': 0.12755852501187392}",20,16,4.53126677532217,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.1, 'e': 0.1266801339403167}",20,0,35.637728577409234,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
300,False,"{'a': 0.1, 'e': 0.12580779162853092}",30,13,18.243163393022755,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.1, 'e': 0.12494145642366285}",30,14,16.980837936148255,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
302,False,"{'a': 0.1, 'e': 0.12408108695968792}",25,11,-16.809609663851816,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
303,False,"{'a': 0.1, 'e': 0.1232266421554354}",25,0,30.642881755623563,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
304,False,"{'a': 0.1, 'e': 0.12237808121262712}",20,7,-13.11055289417485,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
305,False,"{'a': 0.1, 'e': 0.12153536361392905}",30,19,21.268477684216588,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.1, 'e': 0.12069844912101692}",30,22,16.318953452227312,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.1, 'e': 0.11986729777265479}",30,13,27.496316028709252,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.1, 'e': 0.11904186988278709}",35,25,20.4728112449673,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.1, 'e': 0.11822212603864353}",25,13,13.838893570918135,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.1, 'e': 0.11740802709885736}",20,8,19.632402503850273,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.1, 'e': 0.1165995341915963}",25,0,-0.20731657486831523,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
312,False,"{'a': 0.1, 'e': 0.11579660871270657}",20,14,13.34033357568558,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.1, 'e': 0.11499921232386955}",20,4,29.03857155803211,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
