trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-132.78424184755903,"{0: 17, 1: 1, 2: 11, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-130.24437033215915,"{0: 10, 1: 6, 2: 1, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-218.52999729110726,"{0: 12, 1: 2, 2: 6, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-91.39628234516516,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,3,-13.150076637006993,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",35,0,-268.51283504057756,"{0: 22, 1: 2, 2: 4, 3: 2, 4: 5}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-78.45876079149657,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,11,-153.74186316460612,"{0: 7, 1: 2, 2: 1, 3: 1, 4: 3}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-90.448299239179,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,12.153241509506795,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-24.658560628957748,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,11,-29.926231974794423,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,5,-153.96852912315543,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,1.9080721517875778,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,6,9.089061806214799,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-81.70506290172771,"{0: 23, 1: 4, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,13,-51.75213395028534,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,15,10.409251918035805,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,12,-27.326475440228645,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,5,5.230739934330904,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,0,25.699672310840242,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,18,12.367648182703965,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,2,-14.086896525272685,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,0,22.534691257284617,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,15,7.195858779262248,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-31.23564525915725,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,15,20.382389111953856,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,13,18.06553050337094,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",30,21,2.9544015085413244,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,11,21.22104938077484,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
