trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
928,False,"{'a': 0.1, 'e': 0.0728351999999905}",20,8,9.623906000495197,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
929,False,"{'a': 0.1, 'e': 0.0718360999999905}",25,14,19.121557274763372,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
930,False,"{'a': 0.1, 'e': 0.07083699999999049}",25,20,9.007239120601941,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
931,False,"{'a': 0.1, 'e': 0.06983789999999049}",20,3,27.58990485883211,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
932,False,"{'a': 0.1, 'e': 0.06883879999999049}",20,9,10.983838101560599,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
933,False,"{'a': 0.1, 'e': 0.06783969999999048}",20,7,19.604900601992743,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
934,False,"{'a': 0.1, 'e': 0.06684059999999048}",25,19,13.508041258614668,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
935,False,"{'a': 0.1, 'e': 0.06584149999999048}",20,4,17.63428877006896,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
936,False,"{'a': 0.1, 'e': 0.06484239999999047}",20,9,24.220119872057968,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
937,False,"{'a': 0.1, 'e': 0.06384329999999047}",20,16,9.354877044577922,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
938,False,"{'a': 0.1, 'e': 0.06284419999999047}",25,14,19.182235289066565,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
939,False,"{'a': 0.1, 'e': 0.061845099999990466}",25,13,11.126351741739047,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
940,False,"{'a': 0.1, 'e': 0.06084599999999046}",20,10,20.07964737955739,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
